Stacking Location,Avg. Total Packages,Avg. OB Containers,Avg. Cubic Volume
ARSC-20720,217.875,32.8125,324.3393
ARSC-21116-2,217.5625,11.9375,107.2493
ARSC-20708,216.5,16.5625,228.6625
ARSC-20409,210.3125,16.4375,217.2337
ARSC-21106-FLAT,209.375,5.3125,33.815
ARSC-21520,208.0625,31.4375,292.5043
ARSC-21617-2,204.125,8.4375,66.9156
ARSC-20608,201.625,16.875,443.7562
ARSC-20701-FLAT,201.0625,5,32.06
ARSC-21321,200.75,15,137.0125
ARSC-21305-FLAT,197.9375,4.1875,26.9706
ARSC-21309,197.8125,16.4375,224.9912
ARSC-21616-2,196.5625,9.75,84.5668
ARSC-21105-FLAT,196.125,4.375,30.7781
ARSC-20414,194.5625,11.375,91.8568
ARSC-20320,194.1875,28.5,264.9768
ARSC-21315-2,193.5,9.6875,69.8025
ARSC-20710-2,193.125,16.1875,428.9325
ARSC-21001-FLAT,192.5625,4.75,27.0343
ARSC-21101-FLAT,189.1875,4.4375,28.695
ARSC-21614,188.25,9.9375,81.8256
ARSC-21501-FLAT,187.6875,4.5,28.8837
ARSC-21108,186.6875,15.25,198.815
ARSC-21601-FLAT,186.6875,4.125,28.9818
ARSC-21208,185.5,7.625,59.8812
ARSC-21510,183.3125,8.5625,139.8468
ARSC-20415,182.6875,8.6875,61.7487
ARSC-20502-FLAT,182.3125,4.875,30.2031
ARSC-20517,181.1875,10.6875,82.7231
ARSC-20316-3,181.0625,9.375,73.0912
ARSC-20416-2,180.6875,8.8125,72.55
ARSC-21021,178.3125,5.375,58.555
ARSC-20615,178.25,9.6875,86.2225
ARSC-20116-2,173.5625,11.75,78.9637
ARSC-21504-FLAT,173.125,4.0625,24.81
ARSC-21502-FLAT,172.9375,3.9375,53.9037
ARSC-21506-FLAT,171.5625,3.875,23.5968
ARSC-21311,169.25,8.5,71.8831
ARSC-20111,169.0625,13.875,188.0575
ARSC-21115-2,169,14.0625,185.1718
ARSC-21509-2,167.3125,8.6875,71.3243
ARSC-20513-2,166.5,9.75,78.635
ARSC-21109,164.25,8.25,69.2206
ARSC-21111,162.8125,9,72.2887
ARSC-21514,162.5625,7.9375,63.7893
ARSC-20614-2,160.9375,7.8125,58.5287
ARSC-20613,160.625,8.3125,59.9393
ARSC-20610,159.875,9.0625,64.8593
ARSC-20215,159.0625,10,69.4456
ARSC-21221,157.375,14.5625,272.3543
ARSC-20118-2,157.125,7.0625,60.2993
ARSC-20715-2,157,7.4375,56.3168
ARSC-21214-2,156.1875,7.9375,60.5231
ARSC-20217,156,9.3125,70.7087
ARSC-21508,155.625,8.1875,64.3987
ARSC-20501-FLAT,155.375,4.0625,22.8825
ARSC-21209-2,155.25,7.75,60.4343
ARSC-20214-2,153.8125,9.1875,63.5943
ARSC-21602-FLAT,153.625,4.1875,23.7112
ARSC-21615-2,153.3125,8.5,61.39
ARSC-21316-3,152.25,8.3125,60.6725
ARSC-21115,152,13.375,168.2437
ARSC-21118,151.9375,8.125,120.5512
ARSC-20314,151.6875,7.6875,57.6818
ARSC-21516,150.5,11.25,84.7356
ARSC-21318,148.875,6.5625,94.065
ARSC-20206-FLAT,148.5,3.8125,23.6637
ARSC-21415,148.5,7.5,55.6012
ARSC-21010,147.3125,12.4375,159.8593
ARSC-20309-2,145.5625,11.8125,149.9562
ARSC-20115-2,144.75,5.9375,89.7112
ARSC-21210-2,144.1875,8.0625,64.8931
ARSC-21017-2,143.875,7.25,52.5068
ARSC-20515-2,143.6875,7.125,53.6475
ARSC-20517-2,142.125,9,60.8781
ARSC-20714,141.6875,8.0625,55.2831
ARSC-20514,141.375,8.1875,59.5275
ARSC-20508,139.75,12.4375,299.7737
ARSC-21418,139.1875,7.1875,50.2731
ARSC-21514-2,138.3125,6.75,56.4887
ARSC-20106-FLAT,138.125,3.4375,20.6818
ARSC-21402-FLAT,137.375,4.375,21.5206
ARSC-20616,137.0625,7.9375,59.2543
ARSC-21206-FLAT,137.0625,4.1875,22.0331
ARSC-21417,136.8125,7.9375,63.4237
ARSC-21013-3,136.0625,8.125,54.0625
ARSC-21008,135.375,8.0625,59.7981
ARSC-21015,134.6875,6.125,47.1075
ARSC-21211,133.4375,7.8125,66.3912
ARSC-20516-2,133.375,9.5625,62.8281
ARSC-21314,132.5,7.1875,49.6825
ARSC-20120,131.875,18.4375,192.0693
ARSC-20321,131.8125,10.75,128.2618
ARSC-20714-2,131.3125,12.25,150.1856
ARSC-21411,131.125,6.9375,54.9243
ARSC-20515,130.75,6.875,46.5968
